Menu_id,Restaurant_id,Food_id,Cuisine,Price
mn940815,34368,fd80302,"Italian,Mexican",239.0
mn193834,518226,fd193834,"North Indian,Chinese",270.0
mn166377,568464,fd166377,"Beverages,Desserts",170.0
mn778586,377757,fd778586,Chinese,340.0
mn572390,189084,fd564507,"South Indian,Italian",130.0
mn277698,72415,fd4402,"South Indian,Indian",160.0
mn404063,381294,fd77511,"Thalis,Fast Food",219.0
mn123628,351814,fd11817,"Indian,Italian",280.0
mn89850,330534,fd89850,Pizzas,249.0
mn531184,172293,fd766437,North Indian,150.0
mn767022,419658,fd61957,"Chinese,Indian",100.0
mn4966,516171,fd4966,"Beverages,Desserts",190.0
mn27300,546127,fd24652,"Biryani,Hyderabadi",479.0
mn971373,427780,fd150667,"Snacks,Street Food",99.0
mn675975,572983,fd24135,"Chinese,Snacks",139.0
mn252027,162806,fd44338,South Indian,120.0
mn469346,167700,fd47153,"Tandoor,Biryani",170.0
mn659913,450614,fd946371,"Indian,Chinese",120.0
mn627170,145390,fd627170,"Pizzas,Beverages",160.0
mn1021755,539869,fd72864,"Italian,Fast Food",299.0
mn773644,363613,fd6480,South Indian,150.0
mn38003,152804,fd38003,"Indian,Chinese",215.0
mn287860,452653,fd116541,"Fast Food,Snacks",55.0
mn72779,151719,fd72719,"Desserts,Ice Cream",60.0
mn715967,109028,fd196146,North Indian,250.0
mn117053,77532,fd117053,Indian,169.0
mn61274,574413,fd51968,"North Indian,Chinese",280.0
mn622628,559243,fd619733,"Indian,Snacks",99.0
mn694876,427327,fd689719,"American,Pizzas",239.0
mn128823,406840,fd128556,"Snacks,Beverages",89.0
mn351785,68432,fd47265,"North Indian,Continental",115.0
mn158539,550542,fd100782,"Biryani,North Indian",129.0
mn692465,94854,fd888,"North Indian,Chinese",70.0
mn722999,366129,fd30672,"Chinese,Chaat",59.0
mn214519,110016,fd909,"North Indian,Mexican",89.0
mn272505,331388,fd808,"North Indian,Chinese",261.0
mn895072,259824,fd60527,"Healthy Food,Salads",283.0
mn424969,127969,fd424969,"North Indian,Biryani",120.0
mn104626,260220,fd104626,Indian,249.0
mn661339,506214,fd94970,"Beverages,North Indian",179.0
mn230981,187330,fd450840,Desserts,95.0
mn775514,173473,fd775514,"Hyderabadi,North Indian",170.0
mn67464,89139,fd55141,"Beverages,Snacks",348.0
mn538298,106307,fd1269,"North Indian,Tandoor",410.0
mn527980,338611,fd260886,"South Indian,Snacks",199.0
mn264605,508533,fd822988,Bakery,480.0
mn257919,126665,fd15362,"Chinese,North Indian",170.0
mn426199,113541,fd587333,North Indian,329.0
mn954853,326179,fd3788,"Biryani,Indian",160.0
mn599643,75335,fd13148,"Bakery,Pizzas",550.0
mn675354,169396,fd671778,"Chinese,Indian",290.0
mn607246,171423,fd1967,"American,Italian",50.0
mn1017402,428917,fd16892,"Continental,Pizzas",419.0
mn259038,126896,fd143466,Snacks,100.0
mn578498,75847,fd5517,"North Indian,Chinese",445.0
mn190232,542679,fd94753,"Fast Food,Snacks",138.0
mn511700,488538,fd3297,"North Indian,Pizzas",190.0
mn267443,45050,fd267443,"South Indian,North Indian",230.0
mn930369,59901,fd4389,"Chinese,South Indian",150.0
mn588749,103569,fd588749,"Bakery,Snacks",750.0
mn734471,512138,fd734471,"Italian,Fast Food",190.0
mn552796,431199,fd11830,"Chinese,North Indian",210.0
mn700091,74105,fd1438,"North Indian,Punjabi",270.0
mn784414,430188,fd47223,"North Indian,South Indian",200.0
mn583993,76526,fd265524,"North Indian,Chinese",225.0
mn699113,430768,fd801032,Pizzas,103.81
mn824851,252329,fd1061,"Burgers,Fast Food",60.0
mn33799,512784,fd33799,"Chinese,Mughlai",99.0
mn844201,453310,fd25727,"Ice Cream,Beverages",179.0
mn254449,97119,fd254449,"Pizzas,Italian",320.0
mn202467,176077,fd202467,"Fast Food,Snacks",40.0
mn478460,431505,fd478460,Ice Cream,56.0
mn593188,153102,fd47270,"North Indian,Tandoor",129.0
mn915425,32780,fd1277,"North Indian,Chinese",295.0
mn639551,464670,fd47109,"Punjabi,Chinese",65.0
mn1022795,148605,fd2602,"North Indian,Chinese",220.0
mn344401,37122,fd141498,Continental,449.0
mn589772,446762,fd13489,"Fast Food,Street Food",175.0
mn647229,223486,fd646738,"European,Italian",199.0
mn9705,557008,fd9705,"North Indian,Chinese",150.0
mn998924,335579,fd1191,"Indian,Chinese",100.0
mn193685,518226,fd193685,"North Indian,Chinese",290.0
mn949152,246165,fd2771,Pizzas,160.0
mn851179,37910,fd4193,"Bengali,Chinese",150.0
mn820734,530802,fd4182,Indian,140.0
