Restaurant_id,Name,Country,City,Rating,Rating_count,Cuisine,Cuisine.1
180592,Biryani handi ghar,India,Patna,2.5,20+ ratings,Biryani,Biryani
419323,Commons Corner,India,"Electronic City,Bangalore",,Too Few Ratings,"Beverages,Snacks","Beverages,Snacks"
244057,AB Restaurant,India,Jhalawar,,Too Few Ratings,Fast Food,Fast Food
43231,Wat-A-Burger! - India ka Burger,India,"Chattarpur,Delhi",4.0,500+ ratings,"Fast Food,American","Fast Food,American"
421614,OYE PATIALA ON THE ROCKS,India,"Himayath Nagar,Hyderabad",,Too Few Ratings,"Beverages,Snacks","Beverages,Snacks"
10576,Pizza Hut,India,"Koramangala,Bangalore",3.9,100+ ratings,"Pizzas,Fast Food","Pizzas,Fast Food"
531233,ROBIN S CLOUD KITCHEN,India,"Salt Lake,Kolkata",,Too Few Ratings,"Asian,Fast Food","Asian,Fast Food"
466049,Shanghai Valley - The Chinese Gourmet,India,Sirsa,3.9,50+ ratings,"Chinese,Thai","Chinese,Thai"
327155,Rodrigues Fast Food And Snacks Corner,India,Central-goa,3.8,20+ ratings,"Chinese,Goan","Chinese,Goan"
120900,Kitchen King Restaurant,India,"Banjara Hills,Hyderabad",3.3,50+ ratings,Indian,Indian
541658,Delilah's Cafe,India,"Dilshad Gardens,Delhi",,Too Few Ratings,"Italian,Salads","Italian,Salads"
66806,Habibi Falafel,India,"Koramangala,Bangalore",4.2,100+ ratings,"Mediterranean,Lebanese","Mediterranean,Lebanese"
478552,Bake fresh,India,Bikaner,,Too Few Ratings,Bakery,Bakery
212173,K Haji Biryani,India,"Salt Lake,Kolkata",3.4,20+ ratings,"Beverages,Indian","Beverages,Indian"
319609,PIZZA JUNCTION,India,"NIT_FBD,Gurgaon",,Too Few Ratings,"Pizzas,Snacks","Pizzas,Snacks"
43104,The schezwan Chef,India,"Indirapuram,Delhi",4.0,100+ ratings,"Chinese,Thai","Chinese,Thai"
481774,Peppy Parathas & Rolls By Chai Point,India,"Jayanagar,Bangalore",,Too Few Ratings,"Bakery,Beverages","Bakery,Beverages"
482055,GoodYum,India,Sirsa,,Too Few Ratings,"Snacks,Fast Food","Snacks,Fast Food"
411323,My Nutrichef,India,"Mysore North,Mysore",,Too Few Ratings,"Healthy Food,Indian","Healthy Food,Indian"
296454,Indian Food Express,India,"Indirapuram,Delhi",,Too Few Ratings,"Indian,Chinese","Indian,Chinese"
575513,Love At First Bite,India,Bikaner,,Too Few Ratings,"Bakery,Desserts","Bakery,Desserts"
55927,Northeast Kitchen,India,"GTB Nagar,Delhi",3.9,20+ ratings,"Naga,Chinese","Naga,Chinese"
455087,COFFEE O' KOBITA & MR. BURGER,India,"Burrabazar,Kolkata",,Too Few Ratings,"American,Pastas","American,Pastas"
435673,Behrouz Biryani,India,Amritsar,4.0,100+ ratings,"Biryani,Mughlai","Biryani,Mughlai"
332483,5 Star Pizza,India,Bulandshahr,,Too Few Ratings,"Pizzas,Fast Food","Pizzas,Fast Food"
166931,hotel famous,India,"PCMC,Pune",3.3,20+ ratings,"North Indian,Chinese","North Indian,Chinese"
446106,sukoon cafe,India,"Aliganj,Lucknow",,Too Few Ratings,Beverages,Beverages
387975,KITOS PIZZA,India,"Airoli,Mumbai",,Too Few Ratings,"Pizzas,Pastas","Pizzas,Pastas"
67150,Iyer's Delight - Virugambakkam,India,"Vadapalani,Chennai",4.4,1K+ ratings,South Indian,South Indian
159219,Chanderlok Hotel & Restaurant,India,Sri-ganganagar,3.5,50+ ratings,"North Indian,Desserts","North Indian,Desserts"
548934,Artiste Handcrafted Ice Cream,India,"South Tukoganj,Indore",4.9,20+ ratings,"Ice Cream,Desserts","Ice Cream,Desserts"
378840,INDIAN SPICY,India,North-goa,4.6,20+ ratings,"Indian,South Indian","Indian,South Indian"
486997,SWADISHT PIZZA POINT,India,"Indirapuram,Delhi",,Too Few Ratings,"Pizzas,American","Pizzas,American"
556601,Champarwala,India,"Indirapuram,Delhi",,Too Few Ratings,"North Indian,Indian","North Indian,Indian"
466765,BIRIYANI PUB,India,"Rajarhat,Kolkata",,Too Few Ratings,"Biryani,Chinese","Biryani,Chinese"
421299,Alankar Family restaurant,India,Tanuku,3.6,50+ ratings,South Indian,South Indian
51753,Everbake,India,"Punjabi Bagh,Delhi",4.1,1K+ ratings,"North Indian,Snacks","North Indian,Snacks"
55947,Raju Omelette,India,"Vastrapur,Ahmedabad",,Too Few Ratings,Snacks,Snacks
503870,Prabhu Cool Parlour,India,Jamnagar,,Too Few Ratings,"Desserts,Snacks","Desserts,Snacks"
515229,Minus30,India,"Alipore,Kolkata",,Too Few Ratings,"Ice Cream,Desserts","Ice Cream,Desserts"
413882,Wok & Roll,India,"sohna road,Gurgaon",,Too Few Ratings,"Chinese,Indian","Chinese,Indian"
